region,year,avg-house-price
North East,1993,48509.75
North East,1994,48945.5
North East,1995,46627.25
North East,1996,50847.0
North East,1997,52581.75
North East,1998,55821.75
North East,1999,61451.5
North East,2000,63446.75
North East,2001,69132.25
North East,2002,78244.0
North East,2003,99036.5
North East,2004,126611.5
North East,2005,135210.25
North East,2006,141125.5
North East,2007,152294.62322944598
North East,2008,158532.07554081667
North East,2009,156824.8068712638
North East,2010,161543.32063876645
North East,2011,153276.75810742602
North East,2012,152501.24927134675
North East,2013,154383.50110204736
North East,2014,161605.5352928556
North East,2015,167750.32666666666
North East,2016,168512.55621925052
North East,2017,167534.6757609782
North East,2018,168726.4205096459
North East,2019,171046.55458603895
North East,2020,179862.16666666666
North East,2021,192096.33333333334
North East,2022,197492.25
North East,2023,200513.5833333333
North West,1993,55553.75
North West,1994,57182.5
North West,1995,56169.5
North West,1996,57291.25
North West,1997,62906.75
North West,1998,65627.5
North West,1999,71691.75
North West,2000,77524.5
North West,2001,81751.75
North West,2002,91430.25
North West,2003,113529.0
North West,2004,139095.25
North West,2005,149440.25
North West,2006,157506.0
North West,2007,170072.29298634452
North West,2008,174848.83865594314
North West,2009,174304.57024971745
North West,2010,183363.5262113927
North West,2011,175401.91246892072
North West,2012,173589.73236776615
North West,2013,174657.23008065624
North West,2014,184331.998151485
North West,2015,192488.67583333334
North West,2016,196522.53400922526
North West,2017,197884.88918161023
North West,2018,202000.00319072852
North West,2019,204615.48617793535
North West,2020,216767.25
North West,2021,237043.5833333333
North West,2022,248173.0
North West,2023,248451.9166666667
Yorkshire and the Humber,1993,54690.75
Yorkshire and the Humber,1994,54373.0
Yorkshire and the Humber,1995,54334.5
Yorkshire and the Humber,1996,55364.25
Yorkshire and the Humber,1997,59717.0
Yorkshire and the Humber,1998,62193.75
Yorkshire and the Humber,1999,67074.25
Yorkshire and the Humber,2000,71847.5
Yorkshire and the Humber,2001,76134.75
Yorkshire and the Humber,2002,87670.5
Yorkshire and the Humber,2003,111961.5
Yorkshire and the Humber,2004,137317.0
Yorkshire and the Humber,2005,148013.5
Yorkshire and the Humber,2006,158246.5
Yorkshire and the Humber,2007,170203.18332211388
Yorkshire and the Humber,2008,173157.6696573205
Yorkshire and the Humber,2009,176040.0586599628
Yorkshire and the Humber,2010,182086.62671034227
Yorkshire and the Humber,2011,171331.56421052985
Yorkshire and the Humber,2012,171178.8072107286
Yorkshire and the Humber,2013,171904.70540491046
Yorkshire and the Humber,2014,182146.19010441616
Yorkshire and the Humber,2015,188056.01416666666
Yorkshire and the Humber,2016,192074.5146061133
Yorkshire and the Humber,2017,192184.78890256622
Yorkshire and the Humber,2018,195663.83145450486
Yorkshire and the Humber,2019,198812.316438505
Yorkshire and the Humber,2020,210205.08333333334
Yorkshire and the Humber,2021,228367.75
Yorkshire and the Humber,2022,237099.0
Yorkshire and the Humber,2023,237076.58333333334
East Midlands,1993,53640.75
East Midlands,1994,55044.0
East Midlands,1995,55041.0
East Midlands,1996,58353.5
East Midlands,1997,61689.25
East Midlands,1998,65986.25
East Midlands,1999,72008.25
East Midlands,2000,79101.5
East Midlands,2001,86756.75
East Midlands,2002,104221.75
East Midlands,2003,129022.0
East Midlands,2004,154493.0
East Midlands,2005,161487.25
East Midlands,2006,164336.25
East Midlands,2007,176254.8059925042
East Midlands,2008,177025.06587021082
East Midlands,2009,172414.90758713594
East Midlands,2010,184610.11807277586
East Midlands,2011,178883.56711606207
East Midlands,2012,176591.74593736473
East Midlands,2013,177702.4129130028
East Midlands,2014,187812.43922910764
East Midlands,2015,199382.77
East Midlands,2016,206744.34595533382
East Midlands,2017,212653.03913512998
East Midlands,2018,222455.96486149787
East Midlands,2019,223877.79794134235
East Midlands,2020,235998.91666666666
East Midlands,2021,258271.50000000003
East Midlands,2022,271212.3333333333
East Midlands,2023,267319.4166666666
West Midlands,1993,58399.0
West Midlands,1994,59169.75
West Midlands,1995,62078.25
West Midlands,1996,64016.25
West Midlands,1997,67423.0
West Midlands,1998,71784.25
West Midlands,1999,78958.25
West Midlands,2000,87653.0
West Midlands,2001,96615.25
West Midlands,2002,111241.75
West Midlands,2003,133812.25
West Midlands,2004,161846.25
West Midlands,2005,168903.75
West Midlands,2006,177182.5
West Midlands,2007,185048.23168377977
West Midlands,2008,185260.07418878464
West Midlands,2009,184899.61718563215
West Midlands,2010,201351.98895579818
West Midlands,2011,189054.2817681166
West Midlands,2012,188197.48981046616
West Midlands,2013,190509.02181671045
West Midlands,2014,202273.73422777333
West Midlands,2015,211376.43166666664
West Midlands,2016,219365.07217854413
West Midlands,2017,223148.6857922764
West Midlands,2018,230819.48363502545
West Midlands,2019,231538.8637736056
West Midlands,2020,246855.8333333333
West Midlands,2021,266121.4166666667
West Midlands,2022,277231.3333333334
West Midlands,2023,276237.0833333333
East of England,1993,66392.0
East of England,1994,69352.75
